Ticker,beta_1y,correlation_1y,avg_leverage_general_1y
AA,1.7318702980214473,0.6048003475520661,18.191321177233434
AAL,1.845818661898704,0.6476485831241885,-7.155699957222608
AAPL,1.2478908392398531,0.7597512638916377,-1.6611994747198036
ABBV,0.44030255152304226,0.3224730564523087,8.059708470264779
ABNB,1.2680050994268048,0.6464523801484714,-11.465822255429046
ABT,0.23536452078016457,0.19531710804351557,2.256723989247539
ACGL,0.4084772603354247,0.32288254238760605,-4.88226298583159
ACM,0.7759931672835183,0.5656453430706575,2.1525650231783557
ACN,0.8574036345279603,0.5291536993090752,-8.93679225939262
ADBE,0.8449391705726206,0.5071260833135899,-6.7960746865490345
ADI,1.566329074904455,0.7698114204595013,-5.897225408120108
ADM,0.3955006429085017,0.26592498152819316,-5.08650987626374
ADP,0.5595024931009371,0.5191233451957814,-2.0411209151945315
ADSK,0.9139118108993474,0.5962360021992952,2.1082733401260416
AEM,0.255585607347621,0.12236107531123115,25.467954967768712
AEP,0.0808625846617005,0.08427621975222424,-0.8303100589367427
AFL,0.44822418235635436,0.4153925126594055,-1.7449028196333316
AFRM,2.439666403445948,0.6542407689231917,3.4647178279288426
AG,1.0578836187077152,0.28825155081576187,34.51366200722786
AGNC,0.631613139180091,0.5537988338080698,-0.46097670678994956
AIG,0.5375229629903585,0.4011500018814411,-4.327701485887875
AJG,0.30761579362605407,0.21759752509466104,-0.5197306722974888
ALAB,2.3166929801395786,0.4978327448790459,12.983237859214325
ALB,1.6906328091114504,0.5189638249397261,17.737524992915322
ALC,0.7389155681676761,0.5002827107275595,-6.940715880727596
AU,0.35970317689276254,0.12706823402357129,31.425177274087265
AVAV,1.2540935731340954,0.3704580658810084,-16.848959349916075
AVGO,1.7706385924387613,0.6774220788248423,8.252108181596942
AXON,1.1489693061999817,0.3987650137879076,-4.873074762463279
AXP,1.3137582951682854,0.7994273169892535,-3.7590639362364837
B,0.49628534692682774,0.23064618287169392,27.95671022330251
BA,1.201417495045238,0.6190159277410907,3.6890098958681463
BABA,0.8313098680290707,0.3264519921773789,5.222395356617632
BAC,0.9729263322206768,0.6958867470985352,1.2431509234296696
BBY,1.4216824580576086,0.6220457987913923,-8.441135151486222
BCS,1.0879343605750689,0.6659715588485127,-1.7430330681833035
BDX,0.5581130716058109,0.30873921580992614,0.3476053675339581
BE,1.879923434631609,0.37840538523335127,1.7266093792471109
BHP,0.8707931728802089,0.559749576108271,5.94948938394719
BIDU,0.8404673340012779,0.32982333944942505,4.361413225970044
BIIB,0.6285632361115675,0.3519300294667765,-4.520858503537294
BK,0.8799643412112295,0.7367928287194961,3.5389511022135003
BKR,1.1486827701189488,0.6121133039355008,-4.269261003813563
BLDR,1.0824603970162234,0.4374476203411255,-11.404681327970172
BLK,1.098682383497112,0.7571616889556813,7.519505110694116
BMY,0.3368551080693607,0.2212039084687647,2.9791552823601823
BP,0.674405134241985,0.43963236022142044,-2.7162258837009414
BR,0.5585459905674507,0.45294523598449316,-1.7695796216808437
BRK-B,0.46503751037366525,0.48525828339739674,0.7232292519923014
BRO,0.3134344941766945,0.2240926458659549,-6.1892730525568656
BSX,0.6487765570231574,0.41504403230764825,1.0069794594243235
BTI,0.09640787233561189,0.0827018215305093,12.238440759931366
BUD,0.2093191379669832,0.16551764539095595,3.745851466377465
BWXT,1.1615825654490997,0.5173550944745587,4.979276829394494
BX,1.5387660149545315,0.7670966344399262,-6.329212716549959
C,1.2523355271503829,0.7599165461238189,1.343374330344855
CARR,1.0395053870105542,0.591238840803238,-16.162536711160673
CAT,1.1811059188942614,0.6875153779209486,1.1901643587340807
CB,0.23316531403337878,0.22340209561376442,-2.1319405352030527
CCI,0.18265534762363592,0.13149605049414312,4.269681464474449
CCJ,1.1561285793976244,0.42066975208803176,14.197509030800825
CCL,1.8040062381201285,0.7057448517399604,-7.0498167008885035
CDE,1.3387749170615075,0.3581122788596955,50.51398967265008
CDNS,1.3104254205660082,0.6493598085824761,-1.5356877280689922
CEG,1.7511904394067799,0.6408417842112929,9.839344476382443
CFG,1.227977814818876,0.7336249542714559,-6.850712490603095
CFLT,1.493136402722095,0.4019314029026184,6.9545381587737785
CHRW,0.6790158042403929,0.3572775938622435,-3.3798185665186193
CHTR,0.7418730470961531,0.3537093205779839,-12.278769727397444
CHWY,0.7235358108240849,0.3227342774420987,15.92101985208129
CI,0.1915754925840802,0.11266368061277433,-11.618188923305546
CIEN,1.862779016592964,0.592516030016327,11.163884090721833
CINF,0.613343266623864,0.4922056805870088,-5.968140795277063
CL,0.02161294071629728,0.01929488635968024,1.5593615317036822
CLS,2.136945945532684,0.5615763819863119,26.376029899976132
CMCSA,0.3223691135572142,0.14471615446571812,-11.024132886325436
CME,-0.18515083152187728,-0.11790940478877868,-0.4432616805394431
CMG,1.0713440505448448,0.29314338138898494,-22.94222017316827
CMI,1.4886389127337358,0.541876304281447,-1.7931311609582916
CNC,0.3180775257449227,0.05095635014855747,-26.68247372691766
CNI,0.5704970666136068,0.29582065462251766,-6.447038942230331
CNQ,0.24570820185273476,0.10101279244604003,-4.256944033973195
COF,1.4805657445517764,0.5579515903419262,-5.746057208064555
COHR,2.7992137327223925,0.47000379661520325,-12.28491925382694
COIN,3.529590516989498,0.5800645610541078,-5.337887205849341
COP,0.38781966127250755,0.14821025085432413,-3.5009504325071195
COR,-0.03960864497447509,-0.01731930377754684,8.839634156121031
COST,0.14247944587370745,0.0879426302318373,-2.444752038632766
CPNG,1.3560884076331856,0.411046778490257,3.075962721344692
