PortfolioCode,UserId,Ticker,Shares,Price
testingauto,,REMX,59.74,68.95999908447266
testingauto,,MU,28.36,207.3699951171875
whatev,,MU,22.05,207.3699951171875
whatev,,REMX,42.46,68.95999908447266
whatev,,BRK.B,1.68,504.0400085449219
whatev,,GOOG,5.52,299.6499938964844
testing,,REMX,42.46,
testing,,MU,22.05,
testing,,BRK.B,1.68,
testing,,GOOG,5.52,
