Ticker,Shares,LivePriceAtEval,ActualMoneyAllocation,ActualPercentAllocation,RawInvestScore
REMX,57.5,74.80999755859375,4301.574859619141,43.02322959594727,74.87934716977664
MU,24,236.47999572753906,5675.5198974609375,56.96803097076416,99.15433411728512
Cash,22.905242919921875,1.0,22.905242919921875,0.22905242919921873,0
